rxn_id,ts_file,converged_racer_ts,irc_converged_racer_ts,cycle_cnt_racer_ts,energy_kcal_racer_ts,converged_active_learning,irc_converged_active_learning,cycle_cnt_active_learning,energy_kcal_active_learning
3520,mol_002.xyz,True,True,11,-467902.2487270581,True,True,4,-467902.2445917675
3545,mol_002.xyz,True,True,13,-467679.0012476973,True,True,4,-467679.00277078967
3558,mol_002.xyz,True,True,21,-423558.9711129664,True,True,14,-423558.977167411
3558,mol_003.xyz,True,True,22,-423559.04233416176,True,True,10,-423559.0421878724
3561,mol_001.xyz,True,True,17,-475361.38760061475,True,True,12,-475361.38686334126
3561,mol_003.xyz,True,True,18,-475361.4362822384,True,True,10,-475361.4355613184
3562,mol_000.xyz,True,True,28,-411064.90503947233,True,True,17,-411064.8963180191
3562,mol_003.xyz,True,True,22,-411065.5661302685,True,True,12,-411065.5652978583
3574,mol_000.xyz,True,True,15,-466066.9764502101,True,True,17,-466066.9797503734
3574,mol_001.xyz,True,True,27,-466067.0025035806,True,True,31,-466067.003053867
3574,mol_002.xyz,True,True,29,-466063.3652021072,True,True,25,-466063.3630179404
3618,mol_000.xyz,True,True,13,-469173.0879331728,True,True,9,-469173.088609994
3618,mol_001.xyz,True,True,14,-469173.12813021336,True,True,9,-469173.1241465151
3618,mol_003.xyz,True,True,32,-469172.60671493306,True,True,12,-469172.60666475305
3637,mol_001.xyz,True,True,14,-434156.0098159731,True,True,5,-434156.0125156656
3637,mol_002.xyz,True,True,13,-434149.37886221,True,True,12,-434149.3735229919
3642,mol_000.xyz,True,True,30,-434166.3112023144,True,True,14,-434166.3104222109
3642,mol_003.xyz,True,True,14,-434166.30624681426,True,True,14,-434166.31032540445
3731,mol_001.xyz,True,True,18,-479904.79992097506,True,True,15,-479904.7995361714
3731,mol_002.xyz,True,True,17,-479905.7869273297,True,True,8,-479905.786263321
3785,mol_000.xyz,True,True,13,-502271.6919125909,True,True,12,-502271.6918637858
3785,mol_001.xyz,True,True,18,-502271.74333342,True,True,16,-502271.7427438137
3785,mol_003.xyz,True,True,12,-502271.771462375,True,True,18,-502271.773080678
3824,mol_001.xyz,True,True,21,-479747.3193983838,True,True,10,-479747.3189883819
3833,mol_000.xyz,True,True,24,-502321.1571460145,True,True,7,-502321.1588693425
3833,mol_002.xyz,True,True,27,-502317.8168299544,True,True,22,-502317.8130398891
3833,mol_003.xyz,True,True,27,-502321.4925191264,True,True,15,-502321.49535698496
3866,mol_000.xyz,True,True,34,-517966.0902769577,True,True,9,-517966.090714964
3866,mol_001.xyz,True,True,12,-517966.0642814574,True,True,7,-517966.0616784239
3866,mol_002.xyz,True,True,12,-517960.8141306288,True,True,6,-517960.818662148
3894,mol_000.xyz,True,True,16,-504569.2548892992,True,True,12,-504569.2605529137
3894,mol_002.xyz,True,True,24,-504570.20541934134,True,True,10,-504570.20359019213
3894,mol_003.xyz,True,True,26,-504569.2630252728,True,True,12,-504569.261725477
3954,mol_002.xyz,True,True,31,-515374.71615613706,True,True,6,-515374.7141083368
4099,mol_001.xyz,True,True,15,-529202.335408797,True,True,6,-529202.3310620304
4099,mol_002.xyz,True,True,13,-529202.3840189825,True,True,6,-529202.3830235468
4154,mol_000.xyz,True,True,12,-587530.6559071268,True,True,8,-587530.65588743
4154,mol_001.xyz,True,True,21,-587532.0201968628,True,True,12,-587532.0230772225
4154,mol_002.xyz,True,True,18,-587536.6943323899,True,True,19,-587536.6927974916
4278,mol_000.xyz,True,True,13,-565617.948286644,True,True,7,-565617.9444605485
4278,mol_002.xyz,True,True,12,-565617.3931288267,True,True,6,-565617.3952874584
4278,mol_003.xyz,True,True,12,-565617.9557081201,True,True,6,-565617.9548328674
4312,mol_001.xyz,True,True,14,-498737.84701885865,True,True,9,-498737.8489773588
4312,mol_002.xyz,True,True,23,-498737.8345623325,True,True,7,-498737.8366406003
4344,mol_001.xyz,True,True,29,-606665.4819974778,True,True,12,-606665.479957655
4361,mol_000.xyz,True,True,26,-606668.0204543958,True,True,12,-606668.0195148881
4361,mol_002.xyz,True,True,30,-606668.0192134321,True,True,19,-606668.0181605624
4423,mol_000.xyz,True,True,18,-609826.5598639704,True,True,14,-609826.5590680782
4423,mol_002.xyz,True,True,16,-609827.9768626037,True,True,12,-609827.9761590525
4502,mol_001.xyz,True,True,13,-577067.6472596428,True,True,7,-577067.6455491713
4502,mol_002.xyz,True,True,26,-577067.6121141351,True,True,4,-577067.6157122008
4502,mol_003.xyz,True,True,12,-577067.6154351882,True,True,6,-577067.6159912923
4576,mol_001.xyz,True,True,30,-622890.2450171912,True,True,28,-622890.2469864587
4576,mol_002.xyz,True,True,15,-622892.1569805329,True,True,19,-622892.1567399785
4576,mol_003.xyz,True,True,36,-622889.1881891838,True,True,14,-622889.1904546834
4617,mol_000.xyz,True,True,12,-578579.2223236477,True,True,16,-578579.2244513338
4617,mol_001.xyz,True,True,14,-578584.4436926635,True,True,12,-578584.4415422335
4639,mol_001.xyz,True,True,13,-614345.8510398981,True,True,9,-614345.8026383588
4814,mol_000.xyz,True,True,36,-660803.7158645872,True,True,12,-660803.7163602867
4814,mol_002.xyz,True,True,40,-660803.712831754,True,True,12,-660803.714726714
4858,mol_001.xyz,True,True,27,-660750.2246708662,True,True,22,-660750.2392917718
4858,mol_002.xyz,True,True,29,-660758.5417255204,True,True,7,-660758.5446864485
4858,mol_003.xyz,True,True,20,-660758.9749516597,True,True,12,-660758.9729362056
4918,mol_001.xyz,True,True,16,-714180.651280344,True,True,12,-714180.6520464597
4918,mol_003.xyz,True,True,16,-714180.6165579366,True,True,16,-714180.611012838
4987,mol_000.xyz,True,True,14,-727419.6679001355,True,False,1,-727417.3937066825
5014,mol_000.xyz,True,True,16,-662124.5785541772,True,True,12,-662124.578533032
5014,mol_001.xyz,True,True,16,-662124.5385345016,True,True,9,-662124.5398886967
5042,mol_001.xyz,True,True,18,-694730.1921457764,True,True,14,-694730.5102355717
5042,mol_002.xyz,True,True,14,-694731.7560712331,True,True,14,-694731.7530742349
5042,mol_003.xyz,True,True,19,-694751.6811202081,True,True,9,-694751.6761957485
5076,mol_001.xyz,True,True,19,-672969.3901888727,True,True,7,-672969.3885012507
5089,mol_001.xyz,True,True,27,-695548.2422866692,True,True,15,-695548.2462640508
5154,mol_000.xyz,True,True,24,-640204.8280768627,True,True,15,-640204.8290553746
5154,mol_002.xyz,True,True,23,-640204.8186098002,True,True,18,-640204.8213576351
5176,mol_000.xyz,True,True,28,-683660.8602924135,True,True,29,-683660.8630742012
