id,mapped
0,[CH3:1][C:2](=[O:19])[N:3]1[CH2:4][C:5]2=[CH:6][CH:7]=[CH:8][CH:9]=[C:10]2[C:11]#[C:12][C:13]3=[C:14]1[CH:15]=[CH:16][CH:17]=[CH:18]3.[CH3:24][CH2:23][N:20]=[N+:21]=[N-:22]>>[CH3:1][C:2](=[O:19])[N:3]1[CH2:4][C:5]2=[CH:6][CH:7]=[CH:8][CH:9]=[C:10]2[C:11]3=[C:12]([N:22]=[N:21][N:20]3[CH2:23][CH3:24])[C:13]4=[C:14]1[CH:15]=[CH:16][CH:17]=[CH:18]4
1,[CH3:1][C:2](=[O:19])[N:3]1[CH2:4][C:5]2=[CH:6][CH:7]=[CH:8][CH:9]=[C:10]2[C:11]#[C:12][C:13]3=[C:14]1[CH:15]=[CH:16][CH:17]=[CH:18]3.[CH3:24][CH:23]([CH3:25])[N:20]=[N+:21]=[N-:22]>>[CH3:1][C:2](=[O:19])[N:3]1[CH2:4][C:5]2=[CH:6][CH:7]=[CH:8][CH:9]=[C:10]2[C:11]3=[C:12]([N:22]=[N:21][N:20]3[CH:23]([CH3:24])[CH3:25])[C:13]4=[C:14]1[CH:15]=[CH:16][CH:17]=[CH:18]4
2,[CH3:1][C:2](=[O:19])[N:3]1[CH2:4][C:5]2=[CH:6][CH:7]=[CH:8][CH:9]=[C:10]2[C:11]#[C:12][C:13]3=[C:14]1[CH:15]=[CH:16][CH:17]=[CH:18]3.[CH3:24][C:23]([CH3:25])([CH3:26])[N:20]=[N+:21]=[N-:22]>>[CH3:1][C:2](=[O:19])[N:3]1[CH2:4][C:5]2=[CH:6][CH:7]=[CH:8][CH:9]=[C:10]2[C:11]3=[C:12]([N:22]=[N:21][N:20]3[C:23]([CH3:24])([CH3:25])[CH3:26])[C:13]4=[C:14]1[CH:15]=[CH:16][CH:17]=[CH:18]4
